matchID,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,Innings,out/not_out
T202100,LSG Vs PBKS,LSG,1,Aiden Markram,28,18,4,1,155.55,1st Innings,out
T202100,LSG Vs PBKS,LSG,2,Mitchell Marsh,0,1,0,0,0.00,1st Innings,out
T202100,LSG Vs PBKS,LSG,3,Nicholas Pooran,44,30,5,2,146.66,1st Innings,out
T202100,LSG Vs PBKS,LSG,4,Rishabh Pant,2,5,0,0,40.00,1st Innings,out
T202100,LSG Vs PBKS,LSG,5,Ayush Badoni,41,33,1,3,124.24,1st Innings,out
T202100,LSG Vs PBKS,LSG,6,David Miller,19,18,3,0,105.55,1st Innings,out
T202100,LSG Vs PBKS,LSG,7,Abdul Samad,27,12,2,2,225.00,1st Innings,out
T202100,LSG Vs PBKS,LSG,8,Shardul Thakur,3,3,0,0,100.00,1st Innings,not_out
T202100,LSG Vs PBKS,LSG,9,Avesh Khan,0,0,0,0,-,1st Innings,not_out
T202100,LSG Vs PBKS,PBKS,1,Priyansh Arya,8,9,1,0,88.88,2nd Innings,out
T202100,LSG Vs PBKS,PBKS,2,Prabhsimran Singh,69,34,9,3,202.94,2nd Innings,out
T202100,LSG Vs PBKS,PBKS,3,Shreyas Iyer,52,30,3,4,173.33,2nd Innings,not_out
T202100,LSG Vs PBKS,PBKS,4,Nehal Wadhera,43,25,3,4,172.00,2nd Innings,not_out
T207040,KKR Vs MI,KKR,1,Quinton de Kock,1,3,0,0,33.33,1st Innings,out
T207040,KKR Vs MI,KKR,2,Sunil Narine,0,2,0,0,0.00,1st Innings,out
T207040,KKR Vs MI,KKR,3,Ajinkya Rahane,11,7,1,1,157.14,1st Innings,out
T207040,KKR Vs MI,KKR,4,Angkrish Raghuvanshi,26,16,3,1,162.50,1st Innings,out
T207040,KKR Vs MI,KKR,5,Venkatesh Iyer,3,9,0,0,33.33,1st Innings,out
T207040,KKR Vs MI,KKR,6,Rinku Singh,17,14,1,1,121.42,1st Innings,out
T207040,KKR Vs MI,KKR,7,Manish Pandey,19,14,2,1,135.71,1st Innings,out
T207040,KKR Vs MI,KKR,8,Andre Russell,5,11,1,0,45.45,1st Innings,out
T207040,KKR Vs MI,KKR,9,Ramandeep Singh,22,12,1,2,183.33,1st Innings,out
T207040,KKR Vs MI,KKR,10,Harshit Rana,4,8,0,0,50.00,1st Innings,out
T207040,KKR Vs MI,KKR,11,Spencer Johnson,1,3,0,0,33.33,1st Innings,not_out
T207040,KKR Vs MI,MI,1,Rohit Sharma,13,12,0,1,108.33,2nd Innings,out
T207040,KKR Vs MI,MI,2,Ryan Rickelton,62,41,4,5,151.21,2nd Innings,not_out
T207040,KKR Vs MI,MI,3,Will Jacks,16,17,0,1,94.11,2nd Innings,out
T207040,KKR Vs MI,MI,4,Suryakumar Yadav,27,9,3,2,300.00,2nd Innings,not_out
T204583,RR Vs CSK,RR,1,Yashasvi Jaiswal,4,3,1,0,133.33,1st Innings,out
T204583,RR Vs CSK,RR,2,Sanju Samson,20,16,1,1,125.00,1st Innings,out
T204583,RR Vs CSK,RR,3,Nitish Rana,81,36,10,5,225.00,1st Innings,out
T204583,RR Vs CSK,RR,4,Riyan Parag,37,28,2,2,132.14,1st Innings,out
T204583,RR Vs CSK,RR,5,Dhruv Jurel,3,7,0,0,42.85,1st Innings,out
T204583,RR Vs CSK,RR,6,Wanindu Hasaranga,4,5,0,0,80.00,1st Innings,out
T204583,RR Vs CSK,RR,7,Shimron Hetmyer,19,16,1,1,118.75,1st Innings,out
T204583,RR Vs CSK,RR,8,Jofra Archer,0,2,0,0,0.00,1st Innings,out
T204583,RR Vs CSK,RR,9,Kumar Kartikeya,1,1,0,0,100.00,1st Innings,out
T204583,RR Vs CSK,RR,10,Maheesh Theekshana,2,4,0,0,50.00,1st Innings,not_out
T204583,RR Vs CSK,RR,11,Tushar Deshpande,1,2,0,0,50.00,1st Innings,not_out
T204583,RR Vs CSK,CSK,1,Rachin Ravindra,0,4,0,0,0.00,2nd Innings,out
T204583,RR Vs CSK,CSK,2,Rahul Tripathi,23,19,3,1,121.05,2nd Innings,out
T204583,RR Vs CSK,CSK,3,Ruturaj Gaikwad,63,44,7,1,143.18,2nd Innings,out
T204583,RR Vs CSK,CSK,4,Shivam Dube,18,10,1,2,180.00,2nd Innings,out
T204583,RR Vs CSK,CSK,5,Vijay Shankar,9,6,0,1,150.00,2nd Innings,out
T204583,RR Vs CSK,CSK,6,Ravindra Jadeja,32,22,2,1,145.45,2nd Innings,not_out
T204583,RR Vs CSK,CSK,7,MS Dhoni,16,11,1,1,145.45,2nd Innings,out
T204583,RR Vs CSK,CSK,8,Jamie Overton,11,4,0,1,275.00,2nd Innings,not_out
T209474,SRH Vs DC,SRH,1,Abhishek Sharma,1,1,0,0,100.00,1st Innings,out
T209474,SRH Vs DC,SRH,2,Travis Head,22,12,4,0,183.33,1st Innings,out
T209474,SRH Vs DC,SRH,3,Ishan Kishan,2,5,0,0,40.00,1st Innings,out
T209474,SRH Vs DC,SRH,4,Nitish Kumar Reddy,0,2,0,0,0.00,1st Innings,out
T209474,SRH Vs DC,SRH,5,Aniket Verma,74,41,5,6,180.48,1st Innings,out
T209474,SRH Vs DC,SRH,6,Heinrich Klaasen,32,19,2,2,168.42,1st Innings,out
T209474,SRH Vs DC,SRH,7,Abhinav Manohar,4,6,0,0,66.66,1st Innings,out
T209474,SRH Vs DC,SRH,8,Pat Cummins,2,7,0,0,28.57,1st Innings,out
T209474,SRH Vs DC,SRH,9,Wiaan Mulder,9,11,1,0,81.81,1st Innings,out
T209474,SRH Vs DC,SRH,10,Harshal Patel,5,9,0,0,55.55,1st Innings,out
T209474,SRH Vs DC,SRH,11,Mohammed Shami,1,1,0,0,100.00,1st Innings,not_out
T209474,SRH Vs DC,DC,1,Jake Fraser-McGurk,38,32,4,2,118.75,2nd Innings,out
T209474,SRH Vs DC,DC,2,Faf du Plessis,50,27,3,3,185.18,2nd Innings,out
T209474,SRH Vs DC,DC,3,Abishek Porel,34,18,2,2,188.88,2nd Innings,not_out
T209474,SRH Vs DC,DC,4,KL Rahul,15,5,2,1,300.00,2nd Innings,out
T209474,SRH Vs DC,DC,5,Tristan Stubbs,21,14,3,0,150.00,2nd Innings,not_out
T201002,GT Vs MI,GT,1,Sai Sudharsan,63,41,4,2,153.65,1st Innings,out
T201002,GT Vs MI,GT,2,Shubman Gill,38,27,4,1,140.74,1st Innings,out
T201002,GT Vs MI,GT,3,Jos Buttler,39,24,5,1,162.50,1st Innings,out
T201002,GT Vs MI,GT,4,M Shahrukh Khan,9,7,0,1,128.57,1st Innings,out
T201002,GT Vs MI,GT,5,Sherfane Rutherford,18,11,0,2,163.63,1st Innings,out
T201002,GT Vs MI,GT,6,Rahul Tewatia,0,0,0,0,-,1st Innings,out
T201002,GT Vs MI,GT,7,Rashid Khan,6,4,0,1,150.00,1st Innings,out
T201002,GT Vs MI,GT,8,Kagiso Rabada,7,5,0,1,140.00,1st Innings,not_out
T201002,GT Vs MI,GT,9,Sai Kishore,1,1,0,0,100.00,1st Innings,out
T201002,GT Vs MI,MI,1,Rohit Sharma,8,4,2,0,200.00,2nd Innings,out
T201002,GT Vs MI,MI,2,Ryan Rickelton,6,9,1,0,66.66,2nd Innings,out
T201002,GT Vs MI,MI,3,Tilak Varma,39,36,3,1,108.33,2nd Innings,out
T201002,GT Vs MI,MI,4,Suryakumar Yadav,48,28,1,4,171.42,2nd Innings,out
T201002,GT Vs MI,MI,5,Robin Minz,3,6,0,0,50.00,2nd Innings,out
T201002,GT Vs MI,MI,6,Hardik Pandya,11,17,1,0,64.70,2nd Innings,out
T201002,GT Vs MI,MI,7,Naman Dhir,18,11,3,0,163.63,2nd Innings,not_out
T201002,GT Vs MI,MI,8,Mitchell Santner,18,9,1,2,200.00,2nd Innings,not_out
T201975,RCB Vs CSK,RCB,1,Phil Salt,32,16,5,1,200.00,1st Innings,out
T201975,RCB Vs CSK,RCB,2,Virat Kohli,31,30,2,1,103.33,1st Innings,out
T201975,RCB Vs CSK,RCB,3,Devdutt Padikkal,27,14,2,2,192.85,1st Innings,out
T201975,RCB Vs CSK,RCB,4,Rajat Patidar,51,32,4,3,159.37,1st Innings,out
T201975,RCB Vs CSK,RCB,5,Liam Livingstone,10,9,0,1,111.11,1st Innings,out
T201975,RCB Vs CSK,RCB,6,Jitesh Sharma,12,6,1,1,200.00,1st Innings,out
T201975,RCB Vs CSK,RCB,7,Tim David,22,8,1,3,275.00,1st Innings,not_out
T201975,RCB Vs CSK,RCB,8,Krunal Pandya,0,3,0,0,0.00,1st Innings,out
T201975,RCB Vs CSK,RCB,9,Bhuvneshwar Kumar,0,2,0,0,0.00,1st Innings,not_out
T201975,RCB Vs CSK,CSK,1,Rachin Ravindra,41,31,5,0,132.25,2nd Innings,out
T201975,RCB Vs CSK,CSK,2,Rahul Tripathi,5,3,1,0,166.66,2nd Innings,out
T201975,RCB Vs CSK,CSK,3,Ruturaj Gaikwad,0,4,0,0,0.00,2nd Innings,out
T201975,RCB Vs CSK,CSK,4,Deepak Hooda,4,9,1,0,44.44,2nd Innings,out
T201975,RCB Vs CSK,CSK,5,Sam Curran,8,13,0,0,61.53,2nd Innings,out
T201975,RCB Vs CSK,CSK,6,Shivam Dube,19,15,2,1,126.66,2nd Innings,out
T201975,RCB Vs CSK,CSK,7,Ravindra Jadeja,25,19,2,1,131.57,2nd Innings,out
T201975,RCB Vs CSK,CSK,8,Ravichandran Ashwin,11,8,1,0,137.50,2nd Innings,out
T201975,RCB Vs CSK,CSK,9,MS Dhoni,30,16,3,2,187.50,2nd Innings,not_out
T201975,RCB Vs CSK,CSK,10,Noor Ahmad,0,2,0,0,0.00,2nd Innings,not_out
T201052,SRH Vs LSG,SRH,1,Travis Head,47,28,5,3,167.85,1st Innings,out
T201052,SRH Vs LSG,SRH,2,Abhishek Sharma,6,6,1,0,100.00,1st Innings,out
T201052,SRH Vs LSG,SRH,3,Ishan Kishan,0,1,0,0,0.00,1st Innings,out
T201052,SRH Vs LSG,SRH,4,Nitish Kumar Reddy,32,28,2,0,114.28,1st Innings,out
T201052,SRH Vs LSG,SRH,5,Heinrich Klaasen,26,17,2,1,152.94,1st Innings,out
T201052,SRH Vs LSG,SRH,6,Aniket Verma,36,13,0,5,276.92,1st Innings,out
T201052,SRH Vs LSG,SRH,7,Abhinav Manohar,2,6,0,0,33.33,1st Innings,out
T201052,SRH Vs LSG,SRH,8,Pat Cummins,18,4,0,3,450.00,1st Innings,out
T201052,SRH Vs LSG,SRH,9,Harshal Patel,12,11,0,0,109.09,1st Innings,not_out
T201052,SRH Vs LSG,SRH,10,Mohammed Shami,1,3,0,0,33.33,1st Innings,out
T201052,SRH Vs LSG,SRH,11,Simarjeet Singh,3,4,0,0,75.00,1st Innings,not_out
T201052,SRH Vs LSG,LSG,1,Mitchell Marsh,52,31,7,2,167.74,2nd Innings,out
T201052,SRH Vs LSG,LSG,2,Aiden Markram,1,4,0,0,25.00,2nd Innings,out
T201052,SRH Vs LSG,LSG,3,Nicholas Pooran,70,26,6,6,269.23,2nd Innings,out
